Trace,IPC,L1I Access,L1I Hit,L1I Miss,L1I MPKI,Branch MPKI,L1D Access,L1D Hit,L1D Miss,L1D MPKI,L2C MPKI,LLC MPKI,L1I Load Access,L1I Load Hit,L1I Load Miss,L1I Load MPKI
client_001,1.46549,2081657,1813052,268605,5.3721,9.95754,11962744,11548497,414247,8.2849,5.054,2.8245,2081657,1813052,268605,5.3721
client_002,1.61218,4401138,3935574,465564,9.3113,7.68608,12539672,12298947,240725,4.8145,4.14,1.0589,4401138,3935574,465564,9.3113
client_003,1.05488,3749588,3343765,405823,8.1165,5.36876,11475975,11068629,407346,8.1469,7.1419,5.2186,3749588,3343765,405823,8.1165
client_004,1.30323,2636941,2137064,499877,9.9975,15.9608,12636342,12108293,528049,10.561,4.6935,1.7012,2636941,2137064,499877,9.9975
client_005,1.24713,5187643,4593445,594198,11.884,8.06934,13100761,12713460,387301,7.746,6.4431,4.8064,5187643,4593445,594198,11.884
client_006,1.34222,2741245,2056789,684456,13.6891,10.3209,9815835,9313081,502754,10.0551,8.916,5.2384,2741245,2056789,684456,13.6891
client_007,1.44697,2318551,1515638,802913,16.0583,7.8842,12640276,12074727,565549,11.311,3.5141,2.4062,2318551,1515638,802913,16.0583
client_008,1.38155,3455796,2782852,672944,13.4589,11.3061,12426167,11556879,869288,17.3858,6.2362,2.8897,3455796,2782852,672944,13.4589
server_001,1.37378,3659127,3158565,500562,10.0112,5.30842,10901750,10491737,410013,8.2003,8.1724,4.4345,3659127,3158565,500562,10.0112
server_002,1.3729,6271403,5466656,804747,16.0949,4.02536,14940492,14940108,384,0.0077,0.0033,0.0014,6271403,5466656,804747,16.0949
server_003,1.1548,3577438,2726354,851084,17.0217,13.8472,11699082,10971098,727984,14.5597,14.3217,2.9771,3577438,2726354,851084,17.0217
server_004,0.900135,4297066,3274028,1023038,20.4608,9.64254,13049567,11058338,1991229,39.8246,15.3196,1.9462,4297066,3274028,1023038,20.4608
server_009,0.961557,4397828,3375592,1022236,20.4447,7.62616,13088441,10854327,2234114,44.6823,14.9139,1.211,4397828,3375592,1022236,20.4447
server_010,1.10967,4702758,3566682,1136076,22.7215,7.61416,12267244,10662531,1604713,32.0943,16.5343,1.2337,4702758,3566682,1136076,22.7215
server_011,1.29976,4562760,3384202,1178558,23.5712,10.0511,11222440,10589745,632695,12.6539,16.4256,1.7968,4562760,3384202,1178558,23.5712
server_012,1.38969,5115777,3817114,1298663,25.9733,7.63572,11068353,10432219,636134,12.7227,18.1927,1.4457,5115777,3817114,1298663,25.9733
server_013,1.36828,5142305,3787101,1355204,27.1041,7.7443,11047561,10400505,647056,12.9411,19.8,1.4956,5142305,3787101,1355204,27.1041
server_014,1.38231,6170771,4660930,1509841,30.1968,4.13474,15053017,14991549,61468,1.2294,1.3067,0.9781,6170771,4660930,1509841,30.1968
server_015,1.46818,6191426,4573699,1617727,32.3545,3.53704,15214194,15213792,402,0.008,0.0024,0.0013,6191426,4573699,1617727,32.3545
server_016,1.52563,4142659,2068386,2074273,41.4855,6.76684,11885732,11057411,828321,16.5664,7.3677,0.4823,4142659,2068386,2074273,41.4855
server_017,0.410103,4417257,2251012,2166245,43.3249,5.26572,12849273,11111237,1738036,34.7607,32.7668,24.2543,4417257,2251012,2166245,43.3249
server_018,0.419806,4886514,2489221,2397293,47.9459,3.8717,13227505,11423047,1804458,36.0892,33.8343,24.4418,4886514,2489221,2397293,47.9459
server_019,0.402577,4350423,2201326,2149097,42.9819,5.4189,12790512,11001738,1788774,35.7755,33.6196,25.4188,4350423,2201326,2149097,42.9819
server_020,0.422129,4884795,2483287,2401508,48.0302,3.87874,13222411,11429561,1792850,35.857,33.7517,24.3456,4884795,2483287,2401508,48.0302
server_021,0.426988,4993395,2554961,2438434,48.7687,3.34936,13322104,11507917,1814187,36.2837,33.9985,24.2244,4993395,2554961,2438434,48.7687
server_022,0.427424,5006693,2561848,2444845,48.8969,3.27572,13328264,11510103,1818161,36.3632,34.2167,24.29,5006693,2561848,2444845,48.8969
server_023,1.35868,4873386,2477039,2396347,47.9269,8.05138,13041283,12082553,958730,19.1746,8.082,0.6519,4873386,2477039,2396347,47.9269
server_024,1.31713,5008200,2515022,2493178,49.8636,8.23222,13306675,12317047,989628,19.7926,10.5198,0.7442,5008200,2515022,2493178,49.8636
server_025,1.31364,5355252,2928948,2426304,48.5261,8.73856,13656580,12755890,900690,18.0138,9.314,0.386,5355252,2928948,2426304,48.5261
server_026,1.27386,5321686,2583212,2738474,54.7695,8.93986,13465181,12401632,1063549,21.271,11.7759,0.3841,5321686,2583212,2738474,54.7695
server_027,1.27831,5351278,2598388,2752890,55.0578,9.03524,13535252,12517162,1018090,20.3618,9.5678,0.461,5351278,2598388,2752890,55.0578
server_028,1.31832,5477588,2598968,2878620,57.5724,7.38744,13019318,11579570,1439748,28.795,9.289,0.5826,5477588,2598968,2878620,57.5724
server_029,1.2978,5465687,2559889,2905798,58.116,7.38632,13031675,11569898,1461777,29.2355,13.3864,0.6766,5465687,2559889,2905798,58.116
server_030,1.36427,5547646,2605789,2941857,58.8371,7.32546,13141597,11681172,1460425,29.2085,8.7758,0.1674,5547646,2605789,2941857,58.8371
server_031,1.30677,5645441,2651513,2993928,59.8786,7.68834,13288164,12050552,1237612,24.7522,7.0626,0.7277,5645441,2651513,2993928,59.8786
server_032,1.40444,5947413,2784088,3163325,63.2665,7.17918,13557493,12422445,1135048,22.701,5.7451,0.065,5947413,2784088,3163325,63.2665
server_033,1.493,5828890,2528259,3300631,66.0126,7.36266,12436245,11799253,636992,12.7398,4.3167,0.3649,5828890,2528259,3300631,66.0126
server_034,1.56159,5826180,2528501,3297679,65.9536,7.32042,12446206,11840306,605900,12.118,1.7124,0.0975,5826180,2528501,3297679,65.9536
server_035,1.20451,5849435,2512499,3336936,66.7387,7.11978,12341644,11699639,642005,12.8401,4.4487,3.4983,5849435,2512499,3336936,66.7387
server_036,1.68166,5918928,2098124,3820804,76.4161,3.9188,13814049,13810130,3919,0.0784,0.0363,0.0302,5918928,2098124,3820804,76.4161
server_037,1.65668,6441667,2407768,4033899,80.678,3.90862,12486413,12049842,436571,8.7314,3.6271,0.4424,6441667,2407768,4033899,80.678
server_038,1.66522,6443353,2403061,4040292,80.8058,3.87702,12494618,12056574,438044,8.7609,3.3263,0.4337,6443353,2403061,4040292,80.8058
server_039,1.60684,6116555,2029443,4087112,81.7422,4.58654,13624294,13573241,51053,1.0211,0.0001,0.0001,6116555,2029443,4087112,81.7422
spec_gcc_001,1.38477,3652186,3432187,219999,4.4,14.2398,11905931,11133967,771964,15.4393,3.3508,0.9996,3652186,3432187,219999,4.4
spec_gcc_002,0.213353,2433147,1888982,544165,10.8833,5.71512,13635491,8622002,5013489,100.2698,103.9853,61.5116,2433147,1888982,544165,10.8833
spec_gcc_003,0.245,2622352,1944311,678041,13.5608,5.33226,12522692,6971893,5550799,111.016,117.4493,74.3917,2622352,1944311,678041,13.5608
spec_gobmk_001,1.18293,3038322,2712370,325952,6.519,16.9352,10346645,10110022,236623,4.7325,1.7735,0.3085,3038322,2712370,325952,6.519
spec_gobmk_002,1.27113,4330328,3906060,424268,8.4854,18.3174,10594184,10521045,73139,1.4628,0.476,0.3672,4330328,3906060,424268,8.4854
spec_perlbench_001,1.57237,2805485,2498137,307348,6.147,8.01662,12217728,11973704,244024,4.8805,2.3177,1.6827,2805485,2498137,307348,6.147
spec_x264_001,2.93435,948318,687626,260692,5.2138,3.69222,6742721,6674492,68229,1.3646,0.7161,0.5543,948318,687626,260692,5.2138
